date,open,high,low,close,volume
2023-05-11,176.26,176.26,173.98,175.68,8475273
2023-05-11,176.64,177.93,175.56,177.51,10745609
2023-05-11,177.85,179.55,175.66,178.02,10435918
2023-05-11,177.60,181.36,177.10,178.99,9454086
2023-05-11,187.50,188.33,183.73,186.00,12285607
2023-05-11,182.59,183.45,180.33,181.25,7188163
2023-05-11,178.08,180.60,177.56,179.26,10412195
2023-05-11,178.78,180.23,177.47,178.91,7397259
2023-05-11,181.17,182.31,177.65,180.08,12807059
2023-05-11,181.18,182.37,179.64,181.88,13906328
2023-05-11,180.12,180.85,176.63,178.68,7522191
2023-05-11,186.52,186.52,183.23,184.91,11335134
2023-05-11,184.62,187.09,182.89,184.99,13816869
2023-05-11,188.22,191.04,187.55,189.40,14581389
2023-05-11,191.88,192.83,189.70,190.88,5235803
2023-05-11,184.84,187.73,184.29,186.39,8087552
2023-05-11,179.54,180.27,176.86,179.23,9531991
2023-05-11,184.76,186.33,182.34,185.04,12587074
2023-05-11,184.57,186.29,183.84,185.75,12706150
2023-05-11,189.48,190.30,185.52,188.03,8471012
2023-05-11,188.74,192.19,187.71,189.58,14636439
2023-05-11,188.91,189.18,186.82,187.93,13084592
2023-05-11,186.81,187.32,185.53,186.96,9170601
2023-05-11,181.56,184.12,181.38,183.02,8219964
2023-05-11,178.12,178.41,176.54,177.59,7289268
2023-05-11,182.88,182.88,180.93,182.05,13908043
2023-05-11,182.15,184.48,182.09,183.85,10725719
2023-05-11,184.03,186.58,182.34,184.19,13027002
2023-05-11,184.86,185.04,181.45,183.98,8575813
2023-05-11,188.06,189.56,186.58,187.66,11426306
2023-05-11,187.43,189.50,185.67,187.27,13874836
2023-05-11,184.61,185.50,181.09,183.71,9836090
2023-05-11,184.48,184.88,181.12,183.27,8866205
2023-05-11,183.41,183.41,180.20,182.52,11772266
2023-05-11,180.77,181.97,179.47,181.21,7534947
2023-05-11,184.45,184.45,181.63,183.01,12025596
2023-05-11,186.48,186.48,184.82,185.77,5474715
2023-05-11,186.17,188.43,184.49,186.68,7697704
2023-05-11,187.45,189.65,185.88,187.13,11435543
2023-05-11,187.54,190.05,187.54,189.04,7629227
2023-05-11,190.72,191.95,189.16,191.64,15272816
2023-05-11,186.70,186.95,183.68,185.41,13341320
2023-05-11,191.55,193.08,189.77,191.23,12783588
2023-05-11,189.62,191.78,187.35,189.61,13515105
2023-05-11,193.38,196.54,193.38,194.72,12409969
2023-05-11,191.11,194.47,190.54,192.58,13601524
2023-05-11,194.55,195.63,193.25,195.13,6856681
2023-05-11,193.74,194.90,192.69,194.35,6865238
2023-05-11,200.28,200.28,196.65,198.54,5683068
2023-05-11,193.94,198.16,193.83,195.35,10892415
2023-05-11,191.10,194.40,189.83,192.14,10212467
2023-05-11,188.14,190.80,187.07,188.70,9978322
2023-05-11,185.50,187.33,183.09,185.25,12186074
2023-05-11,180.26,180.72,179.29,180.35,14745303
2023-05-11,174.43,174.43,170.83,173.43,7831885
2023-05-11,176.92,178.27,173.87,176.42,11151937
2023-05-11,176.10,178.29,173.95,175.82,7364452
2023-05-11,173.77,177.35,173.77,175.48,13065340
2023-05-11,172.80,176.79,172.80,174.22,6980782
2023-05-11,176.33,177.89,174.68,175.97,8106725
2023-05-11,176.23,179.47,175.77,177.30,8307977
2023-05-11,178.17,180.57,176.87,178.67,9625954
2023-05-11,176.23,176.23,172.40,174.68,8232604
2023-05-11,170.92,172.06,170.09,171.12,13094245
2023-05-11,176.11,177.46,175.14,176.71,12685306
2023-05-11,176.97,179.34,175.61,176.87,13409284
2023-05-11,174.87,176.49,174.87,176.18,5197930
2023-05-11,179.39,179.39,176.38,177.95,13759271
2023-05-11,178.42,181.93,177.02,179.62,13301474
2023-05-11,178.28,181.29,178.28,179.93,14819090
2023-05-11,182.00,183.58,179.74,181.10,8068602
2023-05-11,179.42,179.42,176.61,178.84,8882628
2023-05-11,182.78,185.35,181.69,182.94,13096319
2023-05-11,184.38,184.64,183.32,184.47,9218187
2023-05-11,184.69,184.69,181.71,183.11,8977226
2023-05-11,184.09,184.09,180.41,182.43,6750624
2023-05-11,183.85,184.68,183.42,184.67,11753903
2023-05-11,182.69,182.69,179.34,182.01,5914980
2023-05-11,183.34,183.34,180.03,182.13,7903659
2023-05-11,183.57,184.65,181.51,182.60,6867330
2023-05-11,181.20,182.50,179.21,180.49,10577309
2023-05-11,180.94,182.77,178.98,180.40,5564894
2023-05-11,182.52,182.72,180.38,181.84,14599841
2023-05-11,184.44,185.84,183.68,184.83,13559245
2023-05-11,182.66,183.10,180.82,182.30,9602827
2023-05-11,181.04,182.32,180.10,181.57,13894556
2023-05-11,183.33,185.39,180.65,183.40,11308350
2023-05-11,183.20,184.69,182.01,183.90,14476086
2023-05-11,185.10,187.37,183.15,185.52,8688494
2023-05-11,184.57,186.16,182.49,185.20,14428310
2023-05-11,183.91,186.82,183.91,185.46,6106677
2023-05-11,189.02,189.79,185.72,187.17,12348779
2023-05-11,191.57,193.56,189.53,191.18,8426706
2023-05-11,190.71,192.13,190.18,192.11,14708074
2023-05-11,185.57,187.96,183.76,186.00,10672214
2023-05-11,190.03,192.32,189.91,191.19,15510327
2023-05-11,190.40,191.87,186.32,189.10,8027562
2023-05-11,188.01,188.83,183.89,186.23,6672834
2023-05-11,190.18,190.18,187.15,189.15,11460049
2023-05-11,185.70,189.31,184.19,186.55,7263108
2023-05-11,195.55,195.55,194.06,195.20,9933285
2023-05-11,197.78,198.56,196.28,197.57,12110311
2023-05-11,201.11,202.71,201.11,202.55,9268158
2023-05-11,209.13,209.13,205.37,207.21,13200198
2023-05-11,203.07,203.81,201.17,203.17,7529846
2023-05-11,201.58,204.15,201.39,202.97,5672814
2023-05-11,202.16,202.75,200.85,202.26,10064183
2023-05-11,199.32,199.85,196.05,198.31,14688180
2023-05-11,194.90,197.48,193.48,194.92,10481099
2023-05-11,185.76,188.92,184.52,186.88,8629486
2023-05-11,188.12,189.86,185.38,187.83,5428090
2023-05-11,186.81,188.14,183.07,185.58,13706785
2023-05-11,183.83,186.62,182.91,184.70,5742469
2023-05-11,186.29,186.35,183.10,184.74,5368426
2023-05-11,180.05,182.99,179.02,181.50,12286966
2023-05-11,185.34,187.11,183.99,184.99,14757810
2023-05-11,186.93,188.87,186.20,188.43,9732049
2023-05-11,194.27,194.27,191.75,193.34,14740685
2023-05-11,196.53,196.53,193.61,194.71,14809879
2023-05-11,197.90,200.60,196.34,198.10,11654535
2023-05-11,195.86,197.92,195.86,197.46,10787921
2023-05-11,197.66,198.73,196.23,197.84,5891181
2023-05-11,192.29,195.30,192.29,194.16,7397084
2023-05-11,195.05,197.79,193.90,196.13,13423511
2023-05-11,192.07,192.31,189.74,191.67,14460455
2023-05-11,187.77,191.15,186.97,188.62,7639585
2023-05-11,188.16,190.21,185.27,187.50,12739084
2023-05-11,191.32,191.86,187.03,189.57,13588343
2023-05-11,190.68,190.80,187.20,189.19,5496112
2023-05-11,183.07,185.29,182.08,183.75,9821344
2023-05-11,179.83,183.10,178.35,180.89,9461408
2023-05-11,186.08,190.01,185.72,187.39,7388056
2023-05-11,184.69,187.51,184.41,186.49,7054555
2023-05-11,188.14,188.14,186.58,187.70,8360306
2023-05-11,185.35,185.35,181.81,184.09,13587554
2023-05-11,186.13,187.16,183.58,186.13,7097689
2023-05-11,184.91,188.03,184.91,186.60,11758762
2023-05-11,180.25,182.48,179.91,181.51,10526619
2023-05-11,182.53,184.09,180.24,181.89,10916145
2023-05-11,182.98,184.39,182.13,183.97,5753201
2023-05-11,186.29,186.60,184.27,186.13,9795318
2023-05-11,188.56,189.79,187.04,189.71,12696189
2023-05-11,188.48,190.52,188.48,190.18,9074229
2023-05-11,189.82,191.70,187.44,189.75,8993113
2023-05-11,190.44,193.70,190.44,191.78,10935661
2023-05-11,191.47,193.70,191.24,192.26,8575764
2023-05-11,193.71,194.07,190.27,192.46,7122911
2023-05-11,197.15,197.15,194.76,196.03,10090910
2023-05-11,198.37,198.88,195.97,198.04,8214509
2023-05-11,200.43,204.89,200.43,201.99,5513965
2023-05-11,199.77,199.77,196.69,198.78,12493277
2023-05-11,201.65,202.81,197.92,200.85,8140847
2023-05-11,194.84,196.22,192.92,195.13,6856541
2023-05-11,200.82,200.82,197.74,199.25,11182044
2023-05-11,192.06,193.66,190.84,192.43,10747737
2023-05-11,192.18,192.36,189.89,191.48,12321117
2023-05-11,198.42,198.42,194.76,197.02,12623916
2023-05-11,199.84,203.70,199.74,201.82,7322520
2023-05-11,205.93,208.49,204.46,206.70,9995389
2023-05-11,205.29,209.84,205.29,207.21,13429038
2023-05-11,206.68,207.25,202.93,205.75,11625650
2023-05-11,193.86,196.95,193.76,194.86,14885679
2023-05-11,188.21,189.88,187.55,189.21,12587127
2023-05-11,190.36,190.36,186.44,189.04,10734229
2023-05-11,187.20,189.94,186.96,188.12,5124236
2023-05-11,186.85,190.87,186.59,188.32,9342811
2023-05-11,184.47,186.12,183.90,186.01,7876800
2023-05-11,189.04,189.90,187.05,189.18,13336033
2023-05-11,192.79,193.02,189.28,191.33,9000022
2023-05-11,190.45,190.45,187.51,188.81,8077099
2023-05-11,192.67,192.67,190.79,192.23,14483422
2023-05-11,187.42,189.15,186.05,188.49,14554361
2023-05-11,192.08,192.08,189.08,191.29,10015958
2023-05-11,197.20,198.82,195.07,197.12,6483676
2023-05-11,197.43,197.65,194.22,195.74,11182172
2023-05-11,193.18,195.52,191.96,193.77,13537297
2023-05-11,198.89,199.92,196.60,198.10,10447845
2023-05-11,204.39,208.25,202.63,205.25,11431898
2023-05-11,207.21,209.61,205.38,207.70,15026194
2023-05-11,213.02,213.02,208.63,211.76,11855776
2023-05-11,208.40,210.20,207.04,208.90,5803918
2023-05-11,203.01,203.07,201.14,202.56,13308174
2023-05-11,198.64,202.91,198.64,200.62,11054339
2023-05-11,199.89,203.57,198.20,201.21,5648043
2023-05-11,205.23,205.34,202.80,204.45,11067095
2023-05-11,207.73,210.15,207.52,209.60,10090281
2023-05-11,204.75,207.59,204.15,206.52,5676697
2023-05-11,207.72,210.53,207.72,209.81,15131029
2023-05-11,210.24,210.24,206.03,208.90,5429415
2023-05-11,208.68,209.32,205.68,206.98,5537265
2023-05-11,208.01,208.55,205.20,207.62,14262021
2023-05-11,210.10,211.71,207.19,209.76,13384869
2023-05-11,204.99,209.23,204.44,206.39,9965551
2023-05-11,208.25,211.30,207.27,209.72,9379894
2023-05-11,213.49,213.95,208.78,211.49,10152504
2023-05-11,210.46,214.44,208.50,211.54,8098255
2023-05-11,207.63,210.76,207.63,209.38,6991336
2023-05-11,201.74,204.19,200.45,201.99,11136977
2023-05-11,203.12,206.83,202.57,204.22,10567280
2023-05-11,203.72,203.72,199.01,201.98,9929891
2023-05-11,210.08,210.73,206.50,208.54,9735264
2023-05-11,207.39,207.39,203.15,205.68,9481010
2023-05-11,201.33,203.12,199.45,201.85,5912714
2023-05-11,204.72,204.72,200.72,203.08,9031105
2023-05-11,207.94,209.70,206.24,208.31,11629198
2023-05-11,212.33,213.73,209.97,211.83,6096824
2023-05-11,210.34,211.59,208.93,210.98,14074026
2023-05-11,208.37,208.89,203.61,206.33,15185524
2023-05-11,208.62,209.22,205.92,207.88,15040859
2023-05-11,210.12,211.14,209.30,210.48,10385650
2023-05-11,200.90,204.10,200.32,202.77,9329015
2023-05-11,201.80,203.93,201.68,203.65,12782571
2023-05-11,208.06,211.04,207.15,208.59,13878114
2023-05-11,212.25,215.47,211.22,212.85,5537214
2023-05-11,209.85,210.90,206.43,209.40,13023823
2023-05-11,207.50,208.23,205.58,207.13,12352071
2023-05-11,204.19,207.08,204.19,205.34,6340360
2023-05-11,200.95,204.17,199.32,202.05,12934178
2023-05-11,198.68,203.03,198.68,200.42,7116156
2023-05-11,211.58,215.87,211.37,212.74,10865303
2023-05-11,215.35,217.47,213.32,215.14,10756178
2023-05-11,209.67,212.10,207.76,210.07,8811050
2023-05-11,216.39,217.85,213.91,216.42,13505494
2023-05-11,209.61,211.49,206.43,209.48,13867103
2023-05-11,205.89,210.33,204.88,207.47,5968803
2023-05-11,205.50,206.53,201.94,204.80,14289642
2023-05-11,207.53,209.70,204.49,207.45,8307760
2023-05-11,208.47,211.82,207.20,209.27,11727369
2023-05-11,216.35,217.87,214.15,216.69,11178430
2023-05-11,222.08,224.77,220.25,222.61,12746026
2023-05-11,220.55,222.12,218.85,220.72,5926758
2023-05-11,220.95,220.98,216.30,219.43,13755863
