date,open,high,low,close,volume
2023-05-11,43932.17,44129.02,43044.93,43566.70,10881705
2023-05-11,47353.92,47606.67,47043.79,47502.64,16097227
2023-05-11,46154.50,46607.60,45723.28,46091.60,8575251
2023-05-11,44762.47,45347.11,44434.54,45092.07,13898310
2023-05-11,39803.90,40347.52,39610.75,39934.46,9243143
2023-05-11,40696.83,40752.61,40077.33,40558.52,8350095
2023-05-11,40595.63,40802.58,40037.37,40498.37,12329340
2023-05-11,39615.79,40485.30,39582.92,39926.48,8382274
2023-05-11,39014.66,39390.21,38395.17,38968.62,5955531
2023-05-11,39093.67,39386.89,38629.17,39101.42,7806179
2023-05-11,38248.67,38457.47,37575.35,37900.91,12979751
2023-05-11,35846.71,36373.04,35771.29,35955.26,13288808
2023-05-11,35570.53,35570.53,35109.30,35478.70,6621382
2023-05-11,34364.03,34680.40,33793.86,34301.11,6386271
2023-05-11,34321.47,34786.81,34117.68,34567.26,8117336
2023-05-11,35607.66,35607.66,35057.48,35290.94,15264198
2023-05-11,33660.21,34014.54,33649.89,33983.68,7463359
2023-05-11,33696.15,33969.98,33200.99,33678.01,7846745
2023-05-11,34401.72,34490.57,34208.29,34381.16,6087076
2023-05-11,32200.26,32586.93,32196.11,32417.60,7966861
2023-05-11,31594.14,31767.99,31403.78,31729.78,13025629
2023-05-11,30358.04,30414.29,30104.88,30345.94,15871312
2023-05-11,28743.70,28743.70,28275.70,28530.47,7205249
2023-05-11,27563.30,27593.83,27062.32,27374.67,6588504
2023-05-11,27115.63,27174.97,26605.62,26871.84,6537023
2023-05-11,25326.56,25548.09,25043.01,25383.70,11252350
2023-05-11,23765.62,23765.62,23255.42,23551.58,10448274
2023-05-11,22224.71,22439.71,21887.72,22118.39,13290382
2023-05-11,20735.81,20750.58,20389.26,20645.62,11898651
2023-05-11,20582.46,20660.63,20386.61,20627.37,6560121
2023-05-11,20157.52,20157.52,19831.44,20113.57,13326167
2023-05-11,20496.67,20856.11,20496.67,20657.79,8256537
2023-05-11,19140.12,19193.03,18854.08,19077.42,9305687
2023-05-11,18620.26,18961.22,18600.23,18781.55,14307584
2023-05-11,17100.31,17197.96,16975.60,17066.80,8677999
2023-05-11,16860.43,16978.94,16679.65,16780.85,10937183
2023-05-11,16315.16,16462.68,16138.62,16360.67,13549162
2023-05-11,14662.30,14832.30,14520.96,14621.79,15256483
2023-05-11,13618.04,13737.24,13391.75,13564.15,15543271
2023-05-11,13106.62,13137.98,12972.78,13050.00,10796355
2023-05-11,13034.63,13169.67,12904.86,13050.00,16413810
2023-05-11,13121.03,13206.53,12928.10,13050.00,7735652
2023-05-11,13096.12,13193.12,12949.97,13050.00,9639807
2023-05-11,12952.89,13112.05,12872.71,13050.00,13198785
2023-05-11,13118.99,13177.04,12939.55,13050.00,15049346
2023-05-11,12992.65,13090.32,12939.70,13050.00,12879223
2023-05-11,13124.20,13142.56,12920.17,13050.00,10810491
2023-05-11,12992.94,13159.53,12984.52,13050.00,10496203
2023-05-11,13159.87,13159.87,12950.65,13050.00,12761278
2023-05-11,12984.13,13170.30,12892.12,13050.00,14454481
2023-05-11,13154.31,13232.25,12886.81,13050.00,11176324
2023-05-11,13108.48,13108.48,12901.06,13050.00,10233764
2023-05-11,13115.12,13115.12,12895.78,13050.00,9956114
2023-05-11,13163.32,13168.49,12945.77,13050.00,7793695
2023-05-11,12955.84,13173.41,12955.84,13050.00,15201738
2023-05-11,13123.98,13220.11,12965.13,13050.00,10796067
2023-05-11,13041.89,13171.51,12876.99,13050.00,12549031
2023-05-11,12992.47,13118.48,12940.26,13050.00,10753979
2023-05-11,13096.53,13236.49,12979.23,13050.00,14267952
2023-05-11,13199.04,13359.03,13142.44,13235.04,14108010
2023-05-11,13129.55,13239.30,12888.97,13050.00,8425548
2023-05-11,13109.10,13109.10,12968.43,13050.00,7647288
2023-05-11,12963.24,13186.89,12916.35,13050.00,12108101
2023-05-11,13076.03,13076.03,12937.83,13050.00,12051328
2023-05-11,13130.39,13130.39,12933.45,13050.00,16021543
2023-05-11,12931.44,13148.73,12931.44,13050.00,14966099
2023-05-11,13125.57,13225.12,13057.60,13207.91,7885585
2023-05-11,13017.18,13138.35,12858.57,13050.00,14275922
2023-05-11,13155.73,13227.85,12892.57,13050.00,7593974
2023-05-11,13321.13,13399.71,13028.47,13226.07,6530471
2023-05-11,12985.78,13092.04,12933.74,13050.00,12607936
2023-05-11,12996.15,13238.33,12966.78,13050.00,7206862
2023-05-11,13162.46,13162.46,12968.67,13050.00,14373485
2023-05-11,12943.67,13150.88,12943.67,13050.00,15253319
2023-05-11,13101.93,13157.51,12855.00,13050.00,15034884
2023-05-11,12926.54,13162.89,12870.48,13050.00,13960401
2023-05-11,13113.81,13123.91,12912.11,13050.00,14397216
2023-05-11,12944.00,13159.86,12863.90,13050.00,13413447
2023-05-11,12959.92,13075.23,12954.82,13050.00,14393736
2023-05-11,13046.29,13143.73,12967.59,13050.00,13242226
2023-05-11,13180.16,13183.74,12958.10,13050.00,10339111
2023-05-11,12974.91,13102.32,12963.22,13050.00,15557120
2023-05-11,12992.87,13179.09,12971.80,13050.00,15041859
2023-05-11,13517.77,13664.79,13473.41,13546.95,10800189
2023-05-11,13374.97,13401.83,13227.47,13384.07,12519579
2023-05-11,12987.24,13226.15,12946.36,13050.00,15177062
2023-05-11,13100.34,13100.34,12917.23,13050.00,14975876
2023-05-11,13001.03,13229.26,12977.34,13050.00,13799440
2023-05-11,12978.28,13055.20,12954.15,13050.00,12515276
2023-05-11,12988.36,13085.94,12879.58,13050.00,6714309
2023-05-11,13368.36,13368.36,13116.69,13236.24,6276198
2023-05-11,12990.61,13201.63,12900.85,13050.00,10568871
2023-05-11,13180.38,13180.38,12910.98,13050.00,10228731
2023-05-11,13143.73,13186.05,12953.38,13050.00,13096980
2023-05-11,12941.69,13076.20,12868.56,13050.00,11942641
2023-05-11,13177.48,13177.48,12874.48,13050.00,10838905
2023-05-11,12949.12,13216.26,12887.52,13050.00,13684181
2023-05-11,13039.47,13193.05,12900.92,13050.00,8295251
2023-05-11,13097.73,13109.84,12861.70,13050.00,15737388
2023-05-11,13095.18,13123.14,12943.33,13050.00,12986120
2023-05-11,13143.85,13143.85,12918.08,13050.00,11041124
2023-05-11,12992.96,13112.11,12896.75,13050.00,9394228
2023-05-11,12925.59,13125.91,12886.52,13050.00,14935051
2023-05-11,13111.93,13204.41,12953.81,13050.00,10321422
2023-05-11,13072.03,13072.03,12926.31,13050.00,9310213
2023-05-11,13063.93,13117.66,12867.01,13050.00,12637422
2023-05-11,13160.92,13160.92,12908.90,13050.00,7072682
2023-05-11,13082.29,13172.11,12978.84,13050.00,9935724
2023-05-11,13062.23,13108.57,12937.33,13050.00,15697788
2023-05-11,13162.54,13282.66,13086.95,13253.45,12749154
2023-05-11,13157.19,13386.56,13064.22,13199.34,10025562
2023-05-11,13139.86,13139.86,12903.96,13050.00,7464276
2023-05-11,13132.56,13132.56,12856.78,13050.00,12556490
2023-05-11,13223.05,13377.36,13058.59,13248.08,14960015
2023-05-11,13118.65,13118.65,12887.38,13050.00,11283986
2023-05-11,13090.75,13133.84,12865.78,13050.00,7575525
2023-05-11,13098.73,13175.49,12855.54,13050.00,11265974
2023-05-11,13041.06,13059.34,12973.53,13050.00,16090786
2023-05-11,12992.20,13066.43,12908.35,13050.00,12648540
2023-05-11,13078.69,13104.34,12934.84,13050.00,15596287
2023-05-11,13149.72,13149.72,12910.30,13050.00,12529746
2023-05-11,13165.46,13165.46,12950.93,13050.00,11781705
2023-05-11,13178.38,13234.03,12944.51,13050.00,8471776
2023-05-11,13154.45,13154.45,12858.55,13050.00,10272646
