date,open,high,low,close,volume
2020-01-01,36000.0,44453.09,31204.27,38805.66,51490694347137.8
2020-01-04,38805.66,49436.29,34506.08,41442.78,244231616907638.0
2020-01-03,41442.78,48030.3,37049.85,43318.61,658187461088553.4
2020-01-10,43318.61,48502.34,40526.71,44843.68,730104889003577.1
2020-01-05,44843.68,47207.44,43414.12,45589.49,601722248842886.9
2020-01-11,45589.49,46678.35,43587.36,44930.89,1153100610642114.0
2020-01-13,44930.89,51589.71,36788.37,42364.47,765680093403739.9
2020-01-15,42364.47,45108.18,37511.64,40668.94,669357281776527.4
2020-01-17,40668.94,44116.59,34642.11,38471.22,223135998135117.84
2020-01-10,38471.22,40770.15,35382.06,37645.16,692165216735787.8
2020-01-21,37645.16,38910.12,35931.32,37029.69,631610319635079.6
2020-02-03,37029.69,38939.98,34430.66,36256.93,318380236765091.8
2020-02-06,36256.93,38047.53,34496.12,36866.61,1490507993012902.8
2020-01-14,36866.61,46520.08,29665.16,39471.79,406014532722769.3
2020-01-15,39471.79,46380.35,36036.38,41619.89,662930252072708.4
2020-02-15,41619.89,49394.46,33771.9,38857.62,413184746375224.25
2020-02-02,38857.62,46420.86,34292.52,41528.14,422659814945599.56
2020-02-21,41528.14,44088.96,37067.25,40176.15,1146558158940556.5
2020-02-06,40176.15,46786.46,28467.64,36304.8,316134854191317.7
2020-01-20,36304.8,52135.73,27067.96,41613.41,169745264673310.12
2020-03-01,41613.41,52065.33,35870.41,44117.26,671803487286726.6
2020-01-22,44117.26,49534.92,41605.68,45619.56,1147799370416993.8
2020-02-14,45619.56,48381.15,44009.47,46546.37,29669349825514.58
2020-03-10,46546.37,50512.71,42546.32,45136.76,777073046957241.0
2020-01-25,45136.76,46093.06,43670.3,44744.5,2662295643291250.0
2020-01-26,44744.5,46451.4,43105.46,45364.47,1756704907796289.2
2020-03-19,45364.47,56758.66,39771.92,48717.71,226676041603170.1
2020-02-24,48717.71,50358.97,46221.56,47834.92,1536999385035762.8
2020-01-29,47834.92,56191.96,39682.89,50921.76,569426380644283.8
2020-01-30,50921.76,59093.16,44294.3,53191.22,198208277803919.22
2020-03-31,53191.22,61163.62,46868.29,55929.68,756938217174729.0
2020-02-01,55929.68,59188.87,52059.76,54661.22,1664542529419761.2
2020-03-05,54661.22,58417.0,48492.12,52427.64,461109807077940.8
2020-04-09,52427.64,59220.29,47694.21,54414.26,23685550782487.07
2020-04-12,54414.26,55891.5,52469.35,53897.4,459147360106509.1
2020-02-05,53897.4,55081.22,51920.42,53280.1,2559228685067200.5
2020-04-18,53280.1,66725.1,42613.51,57264.74,576655472168652.8
2020-02-07,57264.74,58265.16,55154.78,56655.27,1941055249850227.8
2020-03-17,56655.27,65767.58,42912.5,53024.94,94989250588398.27
2020-03-19,53024.94,59185.95,48496.12,54701.72,198158423573249.62
2020-02-10,54701.72,60845.78,51028.1,56617.25,401946691293884.6
2020-02-11,56617.25,68928.56,46223.19,60340.02,477733035139241.9
2020-02-12,60340.02,62266.23,57042.83,59074.55,2175193677678458.8
2020-02-13,59074.55,62789.06,52389.85,56951.32,364245209336694.0
2020-03-29,56951.32,62720.7,52255.88,59202.65,1335878982195789.2
2020-03-31,59202.65,59459.87,58730.45,59069.23,1.926094584241597e+16
2020-05-18,59069.23,60689.11,56529.39,58161.65,261035472046154.38
2020-05-21,58161.65,62751.52,51152.69,56177.52,113536789312648.62
2020-05-24,56177.52,68565.75,43053.49,50783.58,300002084432716.75
2020-02-19,50783.58,55001.41,48236.71,52373.44,1400229951376959.5
2020-04-10,52373.44,66973.29,40889.36,57174.92,356012994474602.2
2020-04-12,57174.92,75569.35,45509.34,62143.56,212643883584464.78
2020-04-14,62143.56,68965.1,57265.28,64473.57,1118721359190466.5
2020-04-16,64473.57,84355.46,47478.19,70347.15,662690878371884.0
2020-02-24,70347.15,103784.64,44054.97,59179.52,97942025328299.88
2020-04-20,59179.52,69401.02,51801.43,62825.7,75019602361638.02
2020-02-26,62825.7,63688.42,61714.59,62512.05,7746514739843382.0
2020-06-20,62512.05,70199.6,56816.74,64788.55,959659546052099.4
2020-06-23,64788.55,84067.41,47045.61,71048.03,499585713895830.25
2020-02-29,71048.03,87798.51,57852.5,76529.62,663426916375147.9
2020-03-01,76529.62,80411.82,71656.43,74810.39,3096897667975949.0
2020-03-02,74810.39,84057.72,58023.76,69166.43,281530714868192.5
2020-03-03,69166.43,69641.89,68958.01,69286.05,1.7893860466713922e+16
2020-07-08,69286.05,77751.18,65307.89,71912.75,154416182060523.34
2020-07-11,71912.75,90789.86,60526.55,76709.44,168848787608904.28
2020-03-06,76709.44,79184.59,71950.42,75125.59,3469099791324440.0
2020-03-07,75125.59,84589.67,69826.25,78329.17,1378230573273911.8
2020-05-14,78329.17,79574.68,76810.48,77908.49,1.3512936860340246e+16
2020-03-09,77908.49,110694.04,54787.58,86101.22,25588464646239.145
2020-07-26,86101.22,107918.25,60111.07,78543.53,409624385406244.1
2020-07-29,78543.53,96449.94,62764.81,84428.78,122658082031556.98
2020-03-12,84428.78,97089.38,72008.28,79887.5,1284633306339650.2
2020-05-24,79887.5,88703.12,71212.32,76746.9,1348161979750112.5
2020-05-26,76746.9,98678.64,57410.58,83661.3,823934490090590.6
2020-05-28,83661.3,87965.3,77324.71,81952.87,1384081195790098.5
2020-03-16,81952.87,96302.97,66687.82,87117.66,242890902720764.7
2020-06-01,87117.66,109406.69,68340.94,94124.83,478763796178424.9
2020-08-19,94124.83,102087.18,85800.66,97046.35,600972534500215.5
2020-03-19,97046.35,102482.47,93853.92,98429.75,4916887702177473.0
2020-08-25,98429.75,102793.22,96275.73,99629.39,3529129469434982.5
2020-08-28,99629.39,127674.55,86792.99,107238.69,1175378498649485.2
2020-08-31,107238.69,111104.55,101188.09,105270.25,2385845733126145.5
2020-06-13,105270.25,109409.71,100237.81,103612.74,5018738238738580.0
2020-03-24,103612.74,105056.6,102792.03,104033.31,1.410221573624777e+16
2020-03-25,104033.31,105412.28,103132.26,104407.19,9524533520264220.0
2020-06-19,104407.19,120568.7,95397.73,109355.94,1053915017532431.0
2020-09-15,109355.94,118525.01,102612.38,112109.08,1484824364760424.0
2020-03-28,112109.08,125573.27,105225.49,115856.35,694748190811085.2
2020-03-29,115856.35,182837.46,68924.57,133548.21,349652984729191.1
2020-09-24,133548.21,159764.61,114220.65,141046.72,927940265522720.6
2020-06-29,141046.72,147397.29,134467.34,143551.77,6133681099664102.0
2020-04-01,143551.77,192847.98,120456.53,156184.12,1314937238125555.2
2020-10-03,156184.12,156461.67,155625.73,156036.0,7.21410097949199e+16
2020-07-05,156036.0,163311.7,149897.71,158094.56,7090454491553927.0
2020-07-07,158094.56,174350.24,132018.48,150892.76,1917082385530142.0
2020-04-05,150892.76,165423.31,133500.6,145337.17,1092612533526408.2
2020-04-06,145337.17,165339.04,133503.48,150651.15,981233670299154.2
2020-07-13,150651.15,155287.82,142354.88,147782.32,2207199591645592.0
2020-07-15,147782.32,160532.73,138266.83,152369.09,767911762324132.2
2020-04-09,152369.09,153255.91,151648.9,152710.18,3.724358986341462e+16
2020-07-19,152710.18,252512.02,76490.97,181421.3,768870302056066.0
2020-04-11,181421.3,253660.91,134279.39,199221.5,714805440585964.1
2020-04-12,199221.5,267617.27,140443.88,219936.36,1604385131620894.8
2020-11-05,219936.36,227195.18,215317.81,221927.8,1.4749342851311354e+16
2020-04-14,221927.8,239074.65,198759.31,214233.33,4302622974939548.5
2020-07-29,214233.33,245983.48,190479.63,222837.37,4909333732491821.0
2020-11-14,222837.37,303350.18,117737.04,189119.52,137120728855740.97
2020-08-02,189119.52,190913.94,185769.55,188066.18,2029895280463562.5
2020-08-04,188066.18,191843.84,180927.51,186183.24,5362293670281860.0
2020-08-06,186183.24,255654.98,149863.76,208563.17,45211453309358.164
2020-11-26,208563.17,371923.38,128618.75,258437.17,835288034605811.8
2020-04-21,258437.17,363714.23,179612.12,285391.27,513836464604483.06
2020-04-22,285391.27,292783.03,276522.53,282047.1,2.309558973887204e+16
2020-08-14,282047.1,288959.98,272217.23,279335.31,5166241448028582.0
2020-12-08,279335.31,475868.75,196101.71,327015.92,520282638304942.75
2020-12-11,327015.92,329956.17,324741.42,328171.7,6.297068361471568e+16
2020-08-20,328171.7,368123.11,245381.33,303418.58,2745244146299323.0
2020-04-27,303418.58,442173.01,233023.93,339474.5,1755204093352257.2
2020-04-28,339474.5,400469.82,286889.17,362346.46,3350203894233783.0
2020-04-29,362346.46,422351.96,286258.94,335782.92,4206610400879144.0
2020-08-28,335782.92,616380.39,141895.89,406465.64,1132938425080160.8
2020-08-30,406465.64,621050.58,246802.19,476413.09,1544622105006812.2
2021-01-01,476413.09,595740.91,400607.61,511616.41,4730550719018017.0
2020-09-03,511616.41,579173.64,418159.37,477556.06,7187527044511718.0
2020-09-05,477556.06,611759.81,381640.92,517264.3,2212349653873039.2
2020-05-05,517264.3,528041.11,502989.29,512456.36,2.7417360309315396e+16
2020-09-09,512456.36,632208.28,435789.93,542500.7,2478067555339772.5
2020-05-07,542500.7,593394.25,481809.17,520129.33,3274967499174077.0
2020-09-13,520129.33,667926.34,334082.12,461847.77,2301956669462524.5
