date,open,high,low,close,volume
2023-05-11,2149.72,2155.82,2126.83,2149.50,7859434
2023-05-11,2109.79,2130.18,2089.45,2114.63,11840425
2023-05-11,1894.26,1920.78,1882.97,1901.00,10381660
2023-05-11,1846.11,1860.80,1824.63,1850.61,15171759
2023-05-11,1771.64,1782.91,1745.04,1757.35,7049796
2023-05-11,1801.46,1803.01,1775.82,1788.80,8767027
2023-05-11,1669.60,1708.37,1661.49,1683.83,12152951
2023-05-11,1605.11,1605.11,1570.84,1591.43,10694296
2023-05-11,1482.15,1514.72,1476.63,1492.59,10546473
2023-05-11,1491.16,1491.16,1463.41,1484.45,10224020
2023-05-11,1599.52,1611.63,1575.21,1591.72,14503434
2023-05-11,1592.14,1592.43,1566.80,1586.03,5625109
2023-05-11,1566.67,1572.19,1532.89,1555.82,14255395
2023-05-11,1518.18,1548.16,1514.41,1530.01,7546174
2023-05-11,1497.29,1497.29,1474.66,1487.91,8479335
2023-05-11,1484.88,1516.29,1484.88,1497.60,6137150
2023-05-11,1469.06,1485.81,1465.75,1477.24,9898908
2023-05-11,1499.64,1501.18,1474.41,1495.51,7461396
2023-05-11,1485.75,1492.67,1460.94,1481.32,7202730
2023-05-11,1396.62,1396.62,1374.28,1392.07,10724388
2023-05-11,1429.52,1433.80,1407.51,1418.58,8681286
2023-05-11,1342.40,1346.43,1337.84,1345.78,8976137
2023-05-11,1291.18,1315.12,1286.41,1296.22,7228737
2023-05-11,1318.72,1325.35,1304.37,1323.13,6070330
2023-05-11,1261.02,1264.95,1240.70,1258.69,9426224
2023-05-11,1104.50,1115.39,1093.45,1108.22,11455684
2023-05-11,1013.32,1034.15,1013.32,1020.03,12848538
2023-05-11,1007.59,1019.24,1007.10,1013.52,9900643
2023-05-11,907.79,917.31,904.14,915.62,7614987
2023-05-11,847.85,856.80,845.48,855.18,12166338
2023-05-11,899.18,899.18,879.19,892.47,11909387
2023-05-11,829.77,829.77,817.14,821.63,10477686
2023-05-11,774.53,784.81,765.61,775.40,11248516
2023-05-11,772.58,774.31,761.15,769.03,10132696
2023-05-11,689.35,696.92,681.34,687.20,15493290
2023-05-11,679.17,686.84,676.03,684.00,16080179
2023-05-11,684.50,691.15,677.43,684.00,9892043
2023-05-11,683.70,692.65,677.25,684.00,12917603
2023-05-11,682.68,686.92,674.72,684.00,11594826
2023-05-11,683.28,692.44,678.03,684.00,12806045
2023-05-11,689.35,690.67,679.48,684.00,16624031
2023-05-11,684.17,687.80,673.90,684.00,10809933
2023-05-11,677.92,685.41,674.56,684.00,13800066
2023-05-11,688.49,688.49,674.61,684.00,8175512
2023-05-11,681.07,687.23,677.70,684.00,9984334
2023-05-11,679.37,687.21,675.03,684.00,10605085
2023-05-11,684.92,692.31,674.54,684.00,7501560
2023-05-11,678.80,693.77,677.94,684.00,15083530
