date,open,high,low,close,volume
2023-05-11,361.81,365.38,360.74,364.22,14228853
2023-05-11,352.20,354.62,350.44,352.73,9234257
2023-05-11,347.87,351.70,344.46,348.84,14272211
2023-05-11,348.99,354.38,348.99,351.93,13328232
2023-05-11,356.10,362.69,354.00,358.13,8108087
2023-05-11,347.87,353.91,347.74,350.38,7925155
2023-05-11,348.68,348.68,342.27,345.57,6703049
2023-05-11,341.95,347.27,339.21,343.98,13524406
2023-05-11,342.94,347.19,342.94,346.02,10759083
2023-05-11,346.74,349.58,340.25,345.19,6256961
2023-05-11,340.06,340.06,333.27,337.02,10076276
2023-05-11,328.77,332.41,327.92,329.83,11169983
2023-05-11,328.08,331.43,324.79,329.54,11805596
2023-05-11,319.36,321.69,314.98,318.67,9606442
2023-05-11,317.32,322.43,315.07,319.16,8372068
2023-05-11,305.98,310.28,305.92,308.15,12766966
2023-05-11,308.91,311.19,304.39,307.33,9560255
2023-05-11,303.99,304.00,299.35,302.14,8928984
2023-05-11,295.15,297.50,293.31,295.24,7574863
2023-05-11,289.92,290.76,283.99,287.99,7902518
2023-05-11,276.80,279.20,276.54,278.45,13665792
2023-05-11,269.61,271.81,266.80,270.41,11521259
2023-05-11,269.90,271.62,266.32,267.86,5257644
2023-05-11,259.16,259.16,254.66,256.75,11297304
2023-05-11,249.58,251.73,248.68,250.49,11734698
2023-05-11,244.69,246.28,241.13,244.77,10897437
2023-05-11,232.12,232.12,229.13,230.41,13859941
2023-05-11,222.15,222.15,218.54,220.33,6241749
2023-05-11,208.96,212.07,208.08,210.46,11226860
2023-05-11,206.34,206.74,204.35,205.86,9049954
2023-05-11,194.42,194.42,190.87,193.39,14527712
2023-05-11,179.06,181.05,178.56,180.07,9138202
2023-05-11,167.76,168.39,165.00,167.20,14468736
2023-05-11,160.53,162.89,158.85,160.89,9779417
2023-05-11,152.19,153.32,150.46,152.02,10471742
2023-05-11,139.66,140.90,138.66,139.47,15858113
2023-05-11,128.10,128.54,125.73,127.57,15675017
2023-05-11,121.69,122.69,121.13,122.42,13870299
2023-05-11,113.42,115.88,113.42,114.47,8723272
2023-05-11,113.68,114.35,112.45,113.41,12733993
2023-05-11,114.20,115.09,112.63,113.41,15702107
