date,open,high,low,close,volume
2023-05-11,431.88,434.81,425.59,428.69,10865623
2023-05-11,429.82,429.82,425.62,429.20,6445575
2023-05-11,422.94,431.90,422.94,426.49,9326513
2023-05-11,428.07,433.80,427.41,430.32,5598400
2023-05-11,440.74,449.71,439.53,444.34,9497055
2023-05-11,445.98,449.44,438.99,443.64,14035716
2023-05-11,435.42,445.14,433.53,438.58,13180304
2023-05-11,445.30,445.30,438.16,442.86,9445491
2023-05-11,436.12,442.37,432.48,438.39,8098080
2023-05-11,440.83,440.94,437.03,440.74,14282068
2023-05-11,441.27,447.85,436.44,442.22,14119965
2023-05-11,436.20,438.39,434.72,437.21,10359342
2023-05-11,443.48,446.35,438.25,443.92,5610335
2023-05-11,439.46,442.01,430.28,436.70,12033417
2023-05-11,427.81,433.22,426.53,431.62,13629790
2023-05-11,441.43,442.92,437.57,440.38,14245638
2023-05-11,439.28,446.96,435.27,440.74,9388040
2023-05-11,439.16,441.24,436.93,439.89,13423107
2023-05-11,440.54,442.02,432.43,438.52,14890048
2023-05-11,432.30,434.70,426.85,432.31,14272698
2023-05-11,429.76,440.13,429.58,434.03,13576535
2023-05-11,424.54,430.38,417.97,424.15,6285906
2023-05-11,429.95,432.05,427.62,431.15,5744195
2023-05-11,438.57,442.84,438.57,442.38,8271524
2023-05-11,446.13,446.13,436.14,442.32,5332747
2023-05-11,447.18,447.93,440.26,445.98,14713384
2023-05-11,444.92,453.11,442.86,446.79,12630507
2023-05-11,432.13,432.13,425.08,428.15,14018582
2023-05-11,432.99,432.99,426.37,429.80,13744461
2023-05-11,424.60,424.60,416.53,422.35,12648526
2023-05-11,413.94,420.12,412.49,416.98,13351290
2023-05-11,415.11,415.11,408.63,411.35,6387943
2023-05-11,413.12,413.12,403.51,409.46,12695577
2023-05-11,403.77,408.31,403.77,407.51,8886401
2023-05-11,401.86,408.22,401.86,405.90,14917142
2023-05-11,406.72,409.27,404.67,408.15,7675565
2023-05-11,418.08,420.03,413.31,418.63,7425328
2023-05-11,426.14,426.60,422.11,425.43,14976408
2023-05-11,435.35,436.84,430.04,432.94,7111676
2023-05-11,421.70,421.70,416.46,419.29,14585330
2023-05-11,430.81,433.90,425.55,431.93,11374487
2023-05-11,442.03,444.96,435.46,439.78,10058637
2023-05-11,445.87,445.87,436.68,441.80,5938015
2023-05-11,447.26,447.26,437.72,443.72,5634960
2023-05-11,436.53,444.91,434.76,439.04,8584785
2023-05-11,432.90,434.29,426.03,429.73,10368556
2023-05-11,435.07,435.07,427.51,431.27,12388395
2023-05-11,432.23,436.35,431.81,435.94,5414665
2023-05-11,436.19,439.88,428.12,434.38,8106267
2023-05-11,428.74,430.63,424.02,430.13,10530000
2023-05-11,433.58,439.42,431.94,436.14,6637870
2023-05-11,432.39,432.39,426.42,431.02,14924716
2023-05-11,435.57,437.74,427.42,432.53,12878506
2023-05-11,437.18,437.18,433.68,435.93,9330147
2023-05-11,447.35,450.68,441.60,447.30,9171231
2023-05-11,452.27,455.95,445.51,450.06,11235348
2023-05-11,453.46,455.54,451.60,454.82,8370723
2023-05-11,446.32,446.32,439.97,444.10,11387698
2023-05-11,438.16,440.98,434.68,439.27,12709477
2023-05-11,440.70,443.03,434.73,437.43,6436379
2023-05-11,440.30,441.68,437.45,441.65,9625663
2023-05-11,446.86,454.28,445.01,448.12,14329274
2023-05-11,454.50,458.88,450.90,456.83,10051435
2023-05-11,469.56,469.56,463.40,465.98,9997714
2023-05-11,459.13,466.03,455.37,460.33,12612428
2023-05-11,469.68,478.08,469.68,472.67,7073122
2023-05-11,478.58,484.83,477.08,481.49,11920215
2023-05-11,478.54,479.53,467.75,474.02,8670401
2023-05-11,468.24,477.08,466.29,471.95,12479103
2023-05-11,471.03,476.92,469.63,474.41,10984225
2023-05-11,474.23,474.23,466.33,471.91,12015920
2023-05-11,478.45,478.87,470.24,473.91,8233918
2023-05-11,482.78,491.02,481.67,484.33,9356499
2023-05-11,482.75,485.04,472.23,478.67,10671940
2023-05-11,482.97,484.04,476.83,480.39,10129215
2023-05-11,471.34,473.23,461.86,467.62,10842329
2023-05-11,462.50,472.38,460.92,466.01,11413999
2023-05-11,464.71,468.92,460.17,462.87,8480895
2023-05-11,456.85,458.58,454.26,457.50,10515214
2023-05-11,464.71,464.71,454.69,460.70,11232083
2023-05-11,459.37,460.98,456.95,459.84,14202770
2023-05-11,456.21,456.47,447.07,453.42,8926353
2023-05-11,452.37,456.31,445.68,452.00,9729554
2023-05-11,454.64,459.39,451.84,454.54,9395500
2023-05-11,448.51,449.89,442.57,446.95,6391291
2023-05-11,451.22,455.50,450.47,455.45,8627558
2023-05-11,450.72,457.29,447.23,453.81,8908755
2023-05-11,458.89,465.10,455.03,459.05,6462782
2023-05-11,463.07,465.64,461.07,464.98,15256355
2023-05-11,464.78,474.11,464.78,469.47,5273644
2023-05-11,477.06,480.16,472.09,475.65,11161446
2023-05-11,463.88,467.44,463.88,466.51,10725996
2023-05-11,466.86,470.89,457.94,464.41,5728225
2023-05-11,461.83,468.52,456.51,461.92,10385942
2023-05-11,470.67,478.97,469.65,474.01,9055673
2023-05-11,468.65,469.48,458.20,464.97,9547734
2023-05-11,471.00,472.75,463.76,469.73,6506516
2023-05-11,469.95,474.90,469.95,473.64,9728460
2023-05-11,476.19,477.66,469.32,472.35,13696874
2023-05-11,476.43,486.83,476.43,480.01,14847729
2023-05-11,480.93,483.54,478.34,482.37,11375464
2023-05-11,473.79,477.49,469.99,476.56,9458514
2023-05-11,480.52,482.12,470.27,477.42,7858715
2023-05-11,463.02,463.32,453.46,460.26,13743188
2023-05-11,464.40,470.52,462.01,469.00,12825573
2023-05-11,475.12,476.84,467.88,474.90,13181333
2023-05-11,483.35,483.35,476.07,479.98,7574508
2023-05-11,476.82,478.64,471.84,478.04,5249354
2023-05-11,483.11,483.76,476.81,482.71,12287777
2023-05-11,481.20,482.79,476.85,481.39,13684751
2023-05-11,471.49,473.43,462.26,469.12,11802126
2023-05-11,484.22,484.92,476.83,479.71,12400551
2023-05-11,482.36,487.08,478.47,481.92,9675213
2023-05-11,480.09,486.48,476.71,482.98,14036096
2023-05-11,485.88,489.29,478.50,482.68,14863464
2023-05-11,486.65,486.65,480.54,483.47,7129418
2023-05-11,490.50,494.41,482.79,489.39,9371567
2023-05-11,485.08,492.36,481.21,486.85,6957254
2023-05-11,494.09,498.36,489.20,494.93,9477576
2023-05-11,482.23,486.74,479.34,481.84,14118817
2023-05-11,477.72,482.59,476.40,480.96,11027422
2023-05-11,490.89,491.77,480.00,486.28,10485032
2023-05-11,492.36,494.64,489.22,491.88,8977948
2023-05-11,488.61,488.61,481.68,484.42,10316417
2023-05-11,490.38,491.47,482.25,487.31,14965246
2023-05-11,477.84,486.29,474.82,479.43,13381827
2023-05-11,480.89,483.40,478.91,482.12,6503898
2023-05-11,485.67,492.30,483.44,485.89,13082942
2023-05-11,488.59,488.59,479.64,485.67,8007415
2023-05-11,491.06,497.08,487.51,491.25,11321842
2023-05-11,491.45,496.35,487.23,493.41,12892888
2023-05-11,495.18,504.10,495.04,498.64,14912877
2023-05-11,495.86,501.51,495.86,500.46,12183771
2023-05-11,499.95,499.95,491.40,497.71,13313224
2023-05-11,479.79,483.71,478.71,483.69,10826169
2023-05-11,476.95,483.43,475.40,481.70,14475391
2023-05-11,480.69,483.14,470.01,476.34,14016170
2023-05-11,471.82,478.92,471.00,475.34,6520262
2023-05-11,494.14,494.14,482.76,489.46,5925228
2023-05-11,486.56,493.77,484.11,490.60,10342684
2023-05-11,489.62,494.81,484.69,487.57,11441349
2023-05-11,485.15,485.15,478.57,483.39,7638987
2023-05-11,482.82,488.08,480.21,487.13,6409608
2023-05-11,494.04,496.15,486.04,491.96,13675752
2023-05-11,490.00,492.27,483.09,490.28,9507870
