date,open,high,low,close,volume
2023-05-11,516.24,520.50,515.94,519.27,7669602
2023-05-11,524.44,524.44,516.11,519.96,13809011
2023-05-11,514.31,523.86,512.61,517.43,9208096
2023-05-11,516.63,518.07,509.65,516.51,10937703
2023-05-11,520.90,530.29,519.35,524.61,15311490
2023-05-11,523.50,525.31,517.51,525.22,8708819
2023-05-11,519.66,526.58,516.18,521.69,14932448
2023-05-11,510.56,515.36,507.57,514.08,10043080
2023-05-11,519.58,529.55,519.58,523.85,11953463
2023-05-11,518.12,521.71,512.13,519.75,14220696
2023-05-11,512.93,518.42,509.53,514.87,13960430
2023-05-11,517.72,522.75,511.59,519.05,6575161
2023-05-11,521.36,527.47,518.43,522.24,12945926
2023-05-11,515.82,523.94,514.31,520.23,8152252
2023-05-11,520.05,520.05,513.77,518.22,10807762
2023-05-11,514.92,518.31,507.79,512.89,7988190
2023-05-11,520.67,522.08,516.87,521.47,14488928
2023-05-11,533.26,534.38,525.43,532.21,5798708
2023-05-11,537.01,537.01,530.76,534.37,7853113
2023-05-11,539.15,543.74,534.01,536.74,7996682
2023-05-11,531.96,539.84,529.70,537.06,6550998
2023-05-11,528.33,528.33,518.62,524.65,13671000
2023-05-11,519.79,526.52,513.22,519.50,13670232
2023-05-11,520.50,530.97,517.93,525.31,12516848
2023-05-11,530.12,532.15,521.99,529.30,11320345
2023-05-11,540.62,541.80,533.69,541.61,9240154
2023-05-11,540.34,543.08,538.34,541.95,7178640
2023-05-11,555.41,558.45,545.32,550.59,14689433
2023-05-11,551.56,557.85,546.13,554.27,9756435
2023-05-11,546.70,546.70,540.94,544.79,5383604
2023-05-11,556.34,564.25,553.81,557.29,14504139
2023-05-11,559.31,559.79,551.07,557.59,12970423
2023-05-11,556.91,566.19,554.07,558.23,10684157
2023-05-11,558.76,558.76,549.55,554.07,14926846
2023-05-11,550.00,559.17,547.72,553.05,8795308
2023-05-11,556.18,559.88,545.46,552.76,6199512
2023-05-11,550.99,557.39,548.43,553.14,9163214
2023-05-11,560.84,560.84,549.06,556.50,5791694
2023-05-11,545.99,545.99,536.44,541.87,12771185
2023-05-11,545.65,545.65,538.14,541.60,11774751
2023-05-11,541.18,546.79,535.65,538.96,8032477
2023-05-11,533.66,537.60,528.92,532.86,5389539
2023-05-11,542.65,555.05,539.24,547.14,9632437
2023-05-11,545.52,548.55,533.75,540.48,10874425
2023-05-11,538.73,539.43,532.89,536.17,10367846
2023-05-11,532.01,534.12,527.27,533.99,13600725
2023-05-11,556.07,556.07,544.58,551.54,9798792
2023-05-11,545.85,550.76,536.00,543.54,10422410
2023-05-11,549.67,552.13,543.89,551.40,11271145
2023-05-11,538.25,543.00,534.11,537.15,15053281
2023-05-11,541.82,543.34,535.16,542.02,12118694
