date,open,high,low,close,volume
2023-05-11,165.49,167.26,165.49,166.97,15716591
2023-05-11,163.13,164.18,161.37,163.36,12519946
2023-05-11,158.64,160.61,158.64,160.13,6919238
2023-05-11,162.71,165.29,161.91,164.15,8035020
2023-05-11,165.44,168.07,164.17,166.60,7879936
2023-05-11,169.21,169.21,165.72,167.65,9060003
2023-05-11,171.60,171.75,167.99,170.03,6679641
2023-05-11,174.82,174.89,172.33,173.69,10284633
2023-05-11,168.32,168.32,164.96,167.25,8559766
2023-05-11,163.22,163.89,161.24,163.50,14921079
2023-05-11,172.06,174.73,171.03,172.44,8830164
2023-05-11,165.26,165.66,163.31,165.31,8996706
2023-05-11,165.37,167.28,163.51,165.09,5659404
2023-05-11,164.27,165.28,162.65,165.03,5529678
2023-05-11,162.44,164.53,160.75,162.21,13915586
2023-05-11,165.03,166.20,163.23,165.64,12092769
2023-05-11,164.07,164.41,161.58,163.89,8118502
2023-05-11,159.81,161.91,159.40,161.07,13712400
2023-05-11,155.79,155.94,154.27,155.20,9170411
2023-05-11,149.90,151.39,149.34,150.68,6982671
2023-05-11,151.02,151.61,150.28,151.18,12531253
2023-05-11,153.46,154.61,150.42,152.66,10897441
2023-05-11,147.85,149.71,147.66,149.15,6477923
2023-05-11,152.21,152.92,151.02,151.79,12569790
2023-05-11,142.10,143.45,140.11,142.03,12281955
2023-05-11,133.93,134.93,131.83,132.97,15714757
2023-05-11,127.52,129.44,127.16,128.73,5653519
2023-05-11,130.55,131.48,129.44,130.57,5755475
2023-05-11,124.11,124.11,122.08,123.48,15999454
2023-05-11,124.49,125.97,124.36,125.74,11902993
2023-05-11,122.46,122.46,119.92,121.51,14545052
2023-05-11,118.26,119.09,116.83,118.24,5943409
2023-05-11,110.45,112.46,110.34,111.07,10834361
2023-05-11,105.45,105.55,104.10,104.70,15412673
2023-05-11,99.93,101.72,99.18,100.62,15218042
2023-05-11,93.41,93.98,91.56,92.83,14630906
2023-05-11,90.07,90.19,88.70,89.34,7562855
2023-05-11,89.66,89.72,88.55,89.42,10538189
2023-05-11,87.13,87.23,85.79,86.88,11998367
2023-05-11,78.92,80.54,78.92,79.47,7537483
2023-05-11,67.24,67.85,66.21,67.14,17741408
2023-05-11,62.77,63.37,62.66,63.24,13446525
2023-05-11,63.65,64.61,63.65,64.25,12401075
2023-05-11,62.08,62.52,60.89,61.66,9228692
2023-05-11,57.12,57.12,56.35,56.87,12954713
2023-05-11,52.96,54.01,52.62,53.31,14557720
2023-05-11,52.61,52.78,51.99,52.59,8514919
2023-05-11,52.76,53.22,52.08,52.59,12697365
2023-05-11,52.33,52.77,52.28,52.59,9698397
2023-05-11,52.26,53.35,52.05,52.59,13026539
2023-05-11,53.05,53.05,52.22,52.59,8191842
2023-05-11,52.56,52.71,51.81,52.59,14456207
2023-05-11,52.52,52.70,52.13,52.59,10198894
2023-05-11,52.73,53.18,52.23,52.59,10924998
2023-05-11,52.74,52.88,52.22,52.59,13642500
2023-05-11,52.29,53.05,51.93,52.59,14715815
2023-05-11,52.28,52.70,51.97,52.59,9799888
2023-05-11,52.94,52.94,51.94,52.59,7864885
2023-05-11,52.37,52.80,52.20,52.59,6359804
2023-05-11,52.24,52.71,52.14,52.59,11003004
2023-05-11,54.78,55.75,54.67,55.27,6879887
2023-05-11,53.09,53.09,51.93,52.59,11695387
2023-05-11,54.46,54.58,53.82,54.12,6475710
2023-05-11,52.33,53.33,52.24,52.59,11493140
2023-05-11,53.05,53.05,52.30,52.59,16514623
2023-05-11,52.49,52.77,51.90,52.59,8065525
2023-05-11,53.07,53.07,51.84,52.59,8908263
2023-05-11,52.22,52.68,52.19,52.59,15702404
2023-05-11,52.78,53.09,52.22,52.59,15765616
2023-05-11,52.26,52.99,51.99,52.59,13323573
2023-05-11,52.65,53.08,52.18,52.59,15427152
2023-05-11,52.52,52.83,51.85,52.59,9282125
2023-05-11,52.26,53.35,52.24,52.59,15509160
2023-05-11,53.07,53.12,52.11,52.59,11724790
2023-05-11,53.03,53.03,51.84,52.59,8263649
2023-05-11,52.97,52.97,52.25,52.59,12920884
2023-05-11,52.35,53.29,52.15,52.59,10950137
2023-05-11,52.55,52.90,52.25,52.59,10767059
2023-05-11,52.94,52.94,51.89,52.59,6786212
2023-05-11,53.00,53.04,51.99,52.59,8441640
2023-05-11,52.92,53.09,51.82,52.59,13559230
2023-05-11,52.47,53.24,52.15,52.59,6510424
2023-05-11,52.81,53.22,51.95,52.59,14308160
2023-05-11,52.93,53.29,52.31,52.59,7286133
2023-05-11,52.21,52.80,52.11,52.59,6996183
2023-05-11,52.08,53.37,52.08,52.59,11825903
2023-05-11,54.35,55.35,53.97,54.74,11266122
2023-05-11,52.25,53.26,52.04,52.59,14549078
2023-05-11,52.66,52.85,52.33,52.59,9485606
2023-05-11,52.76,52.76,52.04,52.59,16101588
2023-05-11,52.25,53.01,52.25,52.59,10835980
2023-05-11,52.46,52.69,52.09,52.59,15783010
2023-05-11,52.27,52.73,52.20,52.59,7716912
2023-05-11,52.21,52.90,52.21,52.59,13677001
2023-05-11,52.64,53.16,52.32,52.59,8176622
2023-05-11,52.49,53.29,52.28,52.59,8636323
2023-05-11,52.30,52.99,52.23,52.59,7436319
2023-05-11,52.93,53.36,51.92,52.59,11596732
2023-05-11,52.08,53.04,52.08,52.59,11836987
2023-05-11,52.42,53.27,52.02,52.59,8632748
2023-05-11,52.61,53.07,51.93,52.59,8496233
2023-05-11,52.36,53.06,52.29,52.59,13369255
2023-05-11,52.75,52.94,52.20,52.59,9566725
2023-05-11,52.82,53.09,51.91,52.59,12652978
2023-05-11,52.95,52.96,52.13,52.59,8541136
2023-05-11,52.93,52.93,52.06,52.59,8873818
2023-05-11,53.09,53.09,51.89,52.59,7955790
2023-05-11,52.34,52.81,52.09,52.59,5609115
2023-05-11,52.30,52.74,52.11,52.59,10147038
2023-05-11,52.87,53.25,51.81,52.59,12129748
2023-05-11,52.97,53.03,52.19,52.59,12768568
2023-05-11,53.01,53.01,51.90,52.59,9679881
2023-05-11,52.17,52.74,52.17,52.59,10868439
2023-05-11,53.33,54.10,53.02,53.40,8827631
2023-05-11,52.42,53.37,51.88,52.59,14342966
2023-05-11,52.44,53.29,52.01,52.59,13967298
2023-05-11,52.75,53.11,52.03,52.59,10164719
2023-05-11,52.07,52.89,51.90,52.59,12557152
2023-05-11,52.27,52.69,52.09,52.59,13685399
2023-05-11,52.42,52.80,51.99,52.59,12576555
2023-05-11,54.27,54.71,53.50,54.17,5657322
2023-05-11,53.07,53.07,51.98,52.59,14049700
2023-05-11,52.73,53.15,51.87,52.59,16640056
2023-05-11,52.31,52.88,52.31,52.59,15283476
2023-05-11,52.52,52.59,51.80,52.59,10455051
2023-05-11,52.17,52.84,51.89,52.59,12224889
2023-05-11,52.88,53.27,52.06,52.59,9657978
