date,open,high,low,close,volume
2023-05-11,239.27,239.27,234.61,237.46,12955815
2023-05-11,236.57,238.99,234.29,236.88,13413715
2023-05-11,239.37,239.37,234.45,237.58,5196471
2023-05-11,234.31,235.30,230.74,233.66,12100822
2023-05-11,237.95,237.95,234.46,236.04,10507937
2023-05-11,239.08,239.08,235.08,237.12,10974204
2023-05-11,240.04,240.04,235.88,238.15,7916922
2023-05-11,239.35,241.98,238.24,240.81,11282842
2023-05-11,246.40,247.83,243.08,245.30,13927748
2023-05-11,250.21,253.64,248.57,250.08,12288974
2023-05-11,255.68,258.91,252.88,255.42,9420766
2023-05-11,257.58,261.87,256.01,258.37,8458107
2023-05-11,252.24,254.60,252.24,254.41,6434633
2023-05-11,249.00,251.97,245.75,248.29,10941965
2023-05-11,248.41,248.41,243.90,246.78,8224860
2023-05-11,246.57,249.19,246.57,248.93,8368474
2023-05-11,242.80,248.50,242.54,245.14,6458954
2023-05-11,243.97,244.45,240.96,243.68,14398202
2023-05-11,236.80,238.34,236.00,237.99,14766539
2023-05-11,234.67,238.04,234.52,236.81,12711395
2023-05-11,236.27,236.70,232.89,236.09,10069848
2023-05-11,228.13,230.67,227.23,230.33,12330964
2023-05-11,230.45,232.01,229.94,231.74,14328082
2023-05-11,234.53,234.53,230.07,232.24,11192591
2023-05-11,229.57,231.43,228.84,231.21,6984843
2023-05-11,233.74,234.28,229.32,232.11,12730291
2023-05-11,234.89,234.89,231.39,233.51,10713009
2023-05-11,236.76,237.00,232.41,234.77,10430073
2023-05-11,242.20,244.79,240.22,242.77,13816096
2023-05-11,241.87,243.90,241.18,243.82,13982039
2023-05-11,238.05,242.28,237.88,239.57,11184309
2023-05-11,234.82,239.18,234.04,236.76,12216755
2023-05-11,235.54,238.95,235.44,237.66,14051301
2023-05-11,232.58,235.54,232.13,234.72,11227684
2023-05-11,231.50,235.39,229.79,233.22,5725440
2023-05-11,231.28,234.00,229.91,232.88,7335845
2023-05-11,230.49,235.33,229.41,232.07,15001951
2023-05-11,230.34,231.38,226.53,228.80,7190491
2023-05-11,225.31,227.06,222.30,225.04,10290685
2023-05-11,225.07,225.75,220.48,223.81,7306424
2023-05-11,225.55,228.00,224.70,226.17,7085941
2023-05-11,230.57,232.54,227.29,230.61,10338605
2023-05-11,227.68,228.83,224.04,227.18,7932497
2023-05-11,224.48,227.00,221.43,224.09,8963377
2023-05-11,225.29,227.65,221.97,224.59,9989260
2023-05-11,228.88,231.06,226.54,229.13,9558043
2023-05-11,229.88,232.82,226.73,229.88,5255002
2023-05-11,229.08,233.04,227.34,230.07,6540505
2023-05-11,233.25,235.00,229.35,232.72,10002990
2023-05-11,228.21,232.77,227.78,229.43,9599715
2023-05-11,233.56,233.94,230.35,233.00,6662270
2023-05-11,234.34,236.17,233.01,234.93,6061886
2023-05-11,238.10,238.10,234.98,236.49,5477362
2023-05-11,237.65,240.67,236.80,238.28,8616665
2023-05-11,234.00,236.63,233.71,235.34,9843814
2023-05-11,236.33,236.33,233.26,234.68,9299583
2023-05-11,240.98,240.98,236.14,239.28,6555506
2023-05-11,236.83,239.01,234.63,238.14,13835359
2023-05-11,245.43,245.43,241.73,243.02,8840155
2023-05-11,240.41,243.27,239.66,241.79,7437772
2023-05-11,240.24,244.11,239.03,240.78,8939838
2023-05-11,240.32,240.95,235.95,238.51,9405008
2023-05-11,239.85,244.07,239.17,242.03,5480647
2023-05-11,239.71,242.20,237.46,240.14,7962076
2023-05-11,245.70,245.70,242.40,243.69,13335918
2023-05-11,239.55,242.80,239.05,241.45,13872129
2023-05-11,247.75,248.05,243.47,246.17,7717152
2023-05-11,249.51,252.24,248.14,251.92,13764687
2023-05-11,250.80,254.83,249.91,251.68,9291446
2023-05-11,252.69,256.77,249.33,253.05,9039547
2023-05-11,256.42,257.52,252.20,254.50,12557912
2023-05-11,260.79,263.59,257.95,260.02,6222655
2023-05-11,259.64,261.91,257.30,258.68,7738606
2023-05-11,259.72,259.72,254.74,257.81,9203667
2023-05-11,254.71,258.63,253.83,255.28,8535283
2023-05-11,256.32,256.32,252.51,254.99,10095119
2023-05-11,251.47,256.85,250.26,253.27,12653361
2023-05-11,249.36,252.24,246.73,250.29,9232881
2023-05-11,252.62,253.82,250.72,253.20,12341575
2023-05-11,249.40,252.85,246.81,249.58,13062302
2023-05-11,247.23,248.08,241.70,245.29,11910670
2023-05-11,242.98,245.51,241.39,244.65,12369950
2023-05-11,248.06,252.11,246.11,248.44,11114055
2023-05-11,252.42,252.42,249.23,250.60,5544848
2023-05-11,246.38,249.57,243.59,246.73,11110807
2023-05-11,247.81,247.81,243.58,245.89,7894054
2023-05-11,249.14,249.88,246.45,249.85,8377285
2023-05-11,250.35,250.35,246.66,249.75,5058179
2023-05-11,242.75,245.90,242.75,244.42,14726346
2023-05-11,251.62,251.83,249.23,251.54,9554919
2023-05-11,246.48,246.48,241.82,244.71,5969820
2023-05-11,241.23,244.45,240.25,243.12,9433756
2023-05-11,241.89,244.53,241.06,244.23,13911327
2023-05-11,249.45,249.45,246.03,247.76,6726203
2023-05-11,244.68,247.46,243.17,245.74,7452990
2023-05-11,248.28,250.40,245.06,247.09,5985458
2023-05-11,246.50,247.88,245.21,247.55,9530717
2023-05-11,243.83,248.19,243.83,245.88,7339398
2023-05-11,241.36,244.66,240.67,242.22,6462106
2023-05-11,243.95,245.37,241.51,243.78,14832029
2023-05-11,252.82,252.82,248.82,250.83,5883284
2023-05-11,249.42,251.21,245.05,248.06,10256633
2023-05-11,249.56,253.34,249.56,251.49,14012554
2023-05-11,253.69,257.26,252.18,255.85,13848345
2023-05-11,257.90,260.74,255.42,257.85,12601481
2023-05-11,259.45,261.15,257.28,258.75,14664414
2023-05-11,264.73,266.05,262.22,263.94,6320643
2023-05-11,263.72,270.25,263.52,266.30,9756253
2023-05-11,263.90,264.41,258.40,262.21,5312235
2023-05-11,258.69,261.30,255.54,258.11,9512288
2023-05-11,263.03,263.03,257.32,260.52,5836369
2023-05-11,252.95,256.38,252.25,254.34,15073704
2023-05-11,260.71,263.29,258.13,261.16,13914083
2023-05-11,261.05,262.49,257.65,259.56,9501952
2023-05-11,256.61,259.10,255.42,258.01,10990938
2023-05-11,258.87,258.87,254.02,256.41,11594733
2023-05-11,256.15,256.61,252.44,255.63,11894601
2023-05-11,259.31,259.31,255.80,257.54,9000078
2023-05-11,255.44,258.03,254.32,256.67,14968888
2023-05-11,249.90,251.94,249.76,251.09,13593502
2023-05-11,247.64,247.98,244.85,247.88,11088001
2023-05-11,256.23,259.03,252.52,255.30,10673521
2023-05-11,256.05,258.49,254.50,257.29,12959024
2023-05-11,258.21,258.21,253.72,256.63,8235063
2023-05-11,257.94,263.98,256.58,260.38,6047244
2023-05-11,262.64,265.52,258.81,262.44,14246825
2023-05-11,263.21,264.51,261.65,263.95,7113266
2023-05-11,265.06,266.57,259.28,262.90,6343955
2023-05-11,262.51,268.46,262.51,265.00,5212717
2023-05-11,265.38,267.06,263.72,266.16,6748182
2023-05-11,264.89,267.51,262.80,266.78,13529458
2023-05-11,271.59,272.48,265.13,268.92,12568310
2023-05-11,265.00,267.14,262.69,265.79,7775190
2023-05-11,263.93,268.40,262.75,264.92,11624005
2023-05-11,258.53,262.40,256.74,258.87,13691320
2023-05-11,257.85,261.31,256.71,258.48,13215124
2023-05-11,252.73,256.64,251.15,254.85,9555963
2023-05-11,254.29,257.13,251.80,255.28,6731508
2023-05-11,254.04,256.56,250.17,253.31,7782419
2023-05-11,257.69,259.38,256.97,258.69,13772198
2023-05-11,259.99,263.15,258.46,262.29,7131440
2023-05-11,261.38,265.51,260.02,262.16,6124296
2023-05-11,264.97,267.01,264.05,265.92,11678670
2023-05-11,261.67,264.60,258.56,262.12,14573716
2023-05-11,264.22,264.22,260.91,262.74,14166520
2023-05-11,260.65,264.96,258.54,262.03,6773960
2023-05-11,263.47,265.20,262.34,263.86,14960570
2023-05-11,261.68,263.80,260.87,262.51,11203427
2023-05-11,267.12,271.67,265.92,267.84,14582872
2023-05-11,271.49,275.49,271.49,274.19,12802262
2023-05-11,271.85,273.24,268.35,271.95,10749174
2023-05-11,272.24,272.24,267.67,269.75,5573770
2023-05-11,267.79,273.71,266.16,269.74,6932576
2023-05-11,267.24,270.89,264.54,267.94,10942560
2023-05-11,265.75,269.54,265.75,267.60,7590848
2023-05-11,272.01,272.01,266.09,269.80,11643787
2023-05-11,280.51,281.45,276.78,278.87,12195200
2023-05-11,285.34,285.44,282.14,285.19,12670625
2023-05-11,279.88,279.88,274.53,278.08,10626661
2023-05-11,272.69,277.23,271.11,274.07,7905155
2023-05-11,272.33,273.33,269.94,272.65,11192111
2023-05-11,272.48,275.80,269.89,273.61,8483761
2023-05-11,271.30,272.43,269.17,272.33,10893214
2023-05-11,272.28,276.38,271.66,273.18,6735804
2023-05-11,273.48,274.27,269.09,271.59,6042827
2023-05-11,272.81,278.58,271.96,274.69,12607950
2023-05-11,272.42,276.11,271.10,272.59,12507926
2023-05-11,278.12,282.04,276.74,278.91,10044696
2023-05-11,283.40,285.24,280.26,281.70,12163790
2023-05-11,268.64,272.25,268.27,270.38,11267563
2023-05-11,278.69,279.13,273.34,276.27,14881754
2023-05-11,284.44,286.99,281.32,283.60,12201343
2023-05-11,285.90,285.90,281.62,283.28,14204765
2023-05-11,286.89,290.35,284.94,286.48,10685784
2023-05-11,285.80,286.24,280.57,283.25,13737242
2023-05-11,278.64,279.94,273.79,277.08,9244578
2023-05-11,273.61,274.57,271.30,274.57,13576341
2023-05-11,275.73,276.23,271.26,273.25,14619068
2023-05-11,278.12,278.19,272.82,275.70,12260322
2023-05-11,272.62,276.45,272.62,274.81,9257484
2023-05-11,278.55,279.89,274.93,278.02,7220304
2023-05-11,280.72,285.71,278.51,282.33,10340975
2023-05-11,279.08,282.45,277.19,278.65,7579164
2023-05-11,276.03,282.43,276.03,278.57,12636151
2023-05-11,274.61,279.34,274.61,277.19,6039606
2023-05-11,279.66,280.45,277.13,280.13,10068204
2023-05-11,280.61,282.60,278.57,281.03,11548524
2023-05-11,282.99,283.02,278.19,280.23,10939278
2023-05-11,278.57,282.66,275.95,278.81,7511304
2023-05-11,274.90,276.69,271.74,274.98,5428922
2023-05-11,278.26,280.34,274.47,277.19,7656119
2023-05-11,270.73,275.77,269.50,273.33,13786321
2023-05-11,266.31,269.66,264.76,267.41,11908809
2023-05-11,261.39,263.55,260.59,263.07,12835066
2023-05-11,266.03,271.55,266.03,268.62,5684527
2023-05-11,276.62,276.62,271.81,274.15,5427398
2023-05-11,269.32,271.31,267.19,270.72,8566975
2023-05-11,270.46,273.75,268.91,272.90,13265020
2023-05-11,274.04,274.98,271.65,274.63,7055619
2023-05-11,275.04,276.61,271.18,275.28,8887617
2023-05-11,275.42,275.62,270.17,274.16,12488042
2023-05-11,273.15,276.14,272.63,274.44,13943191
2023-05-11,273.29,273.46,270.17,273.35,8890055
2023-05-11,278.72,279.54,273.37,276.21,8101875
2023-05-11,282.22,282.22,278.44,280.01,14796012
2023-05-11,282.96,283.37,278.69,282.17,10902912
2023-05-11,283.63,286.89,282.60,286.30,14969739
2023-05-11,280.81,285.42,280.81,282.59,11273714
2023-05-11,280.77,281.51,277.05,280.13,14897937
2023-05-11,280.45,281.20,275.28,278.96,9685677
2023-05-11,285.39,287.02,282.89,285.72,10358742
2023-05-11,284.53,286.71,279.98,283.18,6937971
2023-05-11,277.85,281.15,276.99,279.72,11915088
2023-05-11,283.00,287.71,282.14,283.69,10552324
2023-05-11,288.19,288.19,285.36,287.27,13510617
2023-05-11,283.54,287.03,282.57,286.14,10220424
2023-05-11,285.61,289.75,285.61,287.44,12335696
2023-05-11,290.91,290.91,284.82,288.83,6213778
2023-05-11,285.97,287.52,283.51,285.81,14900158
2023-05-11,288.27,291.29,286.78,290.92,13335403
2023-05-11,285.45,291.20,285.45,288.14,13354831
2023-05-11,287.02,289.03,282.36,286.26,12285586
2023-05-11,281.39,283.57,279.11,281.21,15078753
2023-05-11,278.25,283.95,277.78,280.16,8797462
2023-05-11,275.39,279.31,275.01,276.96,6204803
2023-05-11,278.16,279.81,276.28,279.12,13253326
2023-05-11,283.25,288.55,281.17,284.50,8014563
2023-05-11,281.87,286.99,281.87,284.54,7044380
2023-05-11,279.89,279.89,275.14,278.17,5862493
2023-05-11,279.80,280.20,275.56,277.67,6901154
2023-05-11,274.30,279.02,272.44,276.27,5420823
2023-05-11,283.42,284.88,281.06,284.16,9818292
2023-05-11,280.71,281.80,276.80,280.99,5312778
2023-05-11,290.21,290.99,286.35,289.13,9730292
2023-05-11,277.03,281.29,276.08,279.13,11321016
2023-05-11,281.33,282.90,276.74,280.69,8645978
2023-05-11,280.88,283.23,277.89,280.14,12290853
2023-05-11,278.49,280.49,276.94,278.50,9279205
2023-05-11,273.74,276.21,270.13,273.27,13556379
2023-05-11,282.08,282.08,277.88,279.91,14992824
2023-05-11,287.04,287.65,282.10,284.62,9939145
2023-05-11,285.71,286.43,280.59,284.44,9390559
2023-05-11,286.41,286.41,280.43,283.63,8785108
2023-05-11,282.15,286.83,280.08,282.78,8432766
2023-05-11,274.05,275.19,271.68,275.19,9585619
2023-05-11,279.34,283.09,277.69,279.91,12170510
2023-05-11,283.71,283.71,279.90,282.40,13064576
2023-05-11,280.84,287.59,280.28,283.39,14383350
2023-05-11,281.58,282.69,279.31,281.63,7373836
2023-05-11,289.95,289.95,286.69,288.21,15403307
2023-05-11,289.00,289.60,285.39,288.55,7915427
2023-05-11,291.74,297.56,289.22,293.48,15153621
